ACCEPT IT	EXCEPT AT
PRO GRAY	GROW PRAY
PRO GUY	GROW PIE
PRO THICK	THROW PICK
PRO THIGH	THROW PIE
PRO THIN	THROW PIN
PRO THINK	THROW PINK
PROUD CAGE	CROWD PAGE
PROUD CALM	CROWD PALM
PROUD CAN	CROWD PAN
PROUD CARE	CROWD PAIR
PROUD CART	CROWD PART
PROUD CASE	CROWD PACE
PROUD CAST	CROWD PAST
PROUD CATCH	CROWD PATCH
PROUD CLAY	CROWD PLAY
PROUD COAL	CROWD POLE
PROUD COAST	CROWD POST
PROUD COOL	CROWD POOL
PROUD COP	CROWD POP
PROUD COPE	CROWD POPE
PROUD CORE	CROWD POUR
PROUD CORPS	CROWD POUR
PROUD COURT	CROWD PORT
PROUD CRIME	CROWD PRIME
PROUD CURE	CROWD PURE
PROUD KICK	CROWD PICK
PROUD KILL	CROWD PILL
PROUD KISS	CROWD PISS
PROUD KIT	CROWD PIT
PULL BACK	BULL PACK
PULL BAD	BULL PAD
PULL BAN	BULL PAN
PULL BARE	BULL PAIR
PULL BASE	BULL PACE
PULL BATH	BULL PATH
PULL BAY	BULL PAY
PULL BEAR	BULL PAIR
PULL BEER	BULL PEER
PULL BET	BULL PET
PULL BIG	BULL PIG
PULL BILL	BULL PILL
PULL BIT	BULL PIT
PULL BITCH	BULL PITCH
PULL BLEED	BULL PLEAD
PULL BOMB	BULL PALM
PULL BOND	BULL POND
PULL BOWL	BULL POLE
PULL BRIDE	BULL PRIDE
PULL BUNCH	BULL PUNCH
PULL BUSH	BULL PUSH
PULL BUY	BULL PIE
PULL BY	BULL PIE
PULL BYE	BULL PIE
PULL FACE	FULL PACE
PULL FAIL	FULL PALE
PULL FAIR	FULL PAIR
PULL FAN	FULL PAN
PULL FASHION	FULL PASSION
PULL FAST	FULL PAST
PULL FASTER	FULL PASTOR
PULL FEAR	FULL PEER
PULL FEEL	FULL PEEL
PULL FILE	FULL PILE
PULL FILL	FULL PILL
PULL FINE	FULL PINE
PULL FIT	FULL PIT
PULL FLEE	FULL PLEA
PULL FOOL	FULL POOL
PULL FOOT	FULL PUT
PULL FOR	FULL POUR
PULL FORK	FULL PORK
PULL FOUND	FULL POUND
PULL FOUR	FULL POUR
PULL PHRASE	FULL PRAISE
PULL PHYSICIAN	FULL POSITION
PUMP DAD	DUMP PAD
PUMP DARE	DUMP PAIR
PUMP DARK	DUMP PARK
PUMP DAY	DUMP PAY
PUMP DEAL	DUMP PEEL
PUMP DEAR	DUMP PEER
PUMP DEBT	DUMP PET
PUMP DEER	DUMP PEER
PUMP DIE	DUMP PIE
PUMP DIG	DUMP PIG
PUMP DOOR	DUMP POUR
PUMP DOT	DUMP POT
PUMP DRESS	DUMP PRESS
PUMP JAIL	JUMP PALE
PUMP JET	JUMP PET
PUMP JOINT	JUMP POINT
PUNCH BACK	BUNCH PACK
PUNCH BAD	BUNCH PAD
PUNCH BAN	BUNCH PAN
PUNCH BARE	BUNCH PAIR
PUNCH BASE	BUNCH PACE
PUNCH BATH	BUNCH PATH
PUNCH BAY	BUNCH PAY
PUNCH BEAR	BUNCH PAIR
PUNCH BEER	BUNCH PEER
PUNCH BET	BUNCH PET
PUNCH BIG	BUNCH PIG
PUNCH BILL	BUNCH PILL
PUNCH BIT	BUNCH PIT
PUNCH BITCH	BUNCH PITCH
PUNCH BLEED	BUNCH PLEAD
PUNCH BOMB	BUNCH PALM
PUNCH BOND	BUNCH POND
PUNCH BOWL	BUNCH POLE
PUNCH BRIDE	BUNCH PRIDE
PUNCH BULL	BUNCH PULL
PUNCH BUSH	BUNCH PUSH
PUNCH BUY	BUNCH PIE
PUNCH BY	BUNCH PIE
PUNCH BYE	BUNCH PIE
PUNCH LACK	LUNCH PACK
PUNCH LANE	LUNCH PAIN
PUNCH LAST	LUNCH PAST
PUNCH LAY	LUNCH PAY
PUNCH LEAK	LUNCH PEAK
PUNCH LET	LUNCH PET
PUNCH LIE	LUNCH PIE
PUNCH LINE	LUNCH PINE
PUNCH LINK	LUNCH PINK
PUNCH LOT	LUNCH POT
PURE CAGE	CURE PAGE
PURE CALM	CURE PALM
PURE CAN	CURE PAN
PURE CARE	CURE PAIR
PURE CART	CURE PART
PURE CASE	CURE PACE
PURE CAST	CURE PAST
PURE CATCH	CURE PATCH
PURE CLAY	CURE PLAY
PURE COAL	CURE POLE
PURE COAST	CURE POST
PURE COOL	CURE POOL
PURE COP	CURE POP
PURE COPE	CURE POPE
PURE CORE	CURE POUR
PURE CORPS	CURE POUR
PURE COURT	CURE PORT
PURE CRIME	CURE PRIME
PURE CROWD	CURE PROUD
PURE KICK	CURE PICK
PURE KILL	CURE PILL
PURE KISS	CURE PISS
PURE KIT	CURE PIT
PURSE NAIL	NURSE PALE
PURSE NEAR	NURSE PEER
PURSE NET	NURSE PET
PURSE NINE	NURSE PINE
PURSE NOR	NURSE POUR
PURSE NOSE	NURSE POSE
PURSE NOT	NURSE POT
PURSE VAN	VERSE PAN
PURSE VAST	VERSE PAST
PUSH BACK	BUSH PACK
PUSH BAD	BUSH PAD
PUSH BAN	BUSH PAN
PUSH BARE	BUSH PAIR
PUSH BASE	BUSH PACE
PUSH BATH	BUSH PATH
PUSH BAY	BUSH PAY
PUSH BEAR	BUSH PAIR
PUSH BEER	BUSH PEER
PUSH BET	BUSH PET
PUSH BIG	BUSH PIG
PUSH BILL	BUSH PILL
PUSH BIT	BUSH PIT
PUSH BITCH	BUSH PITCH
PUSH BLEED	BUSH PLEAD
PUSH BOMB	BUSH PALM
PUSH BOND	BUSH POND
PUSH BOWL	BUSH POLE
PUSH BRIDE	BUSH PRIDE
PUSH BULL	BUSH PULL
PUSH BUNCH	BUSH PUNCH
PUSH BUY	BUSH PIE
PUSH BY	BUSH PIE
PUSH BYE	BUSH PIE
PUT FACE	FOOT PACE
PUT FAIL	FOOT PALE
PUT FAIR	FOOT PAIR
PUT FAN	FOOT PAN
PUT FASHION	FOOT PASSION
PUT FAST	FOOT PAST
PUT FASTER	FOOT PASTOR
PUT FEAR	FOOT PEER
PUT FEEL	FOOT PEEL
PUT FILE	FOOT PILE
PUT FILL	FOOT PILL
PUT FINE	FOOT PINE
PUT FIT	FOOT PIT
PUT FLEE	FOOT PLEA
PUT FOOL	FOOT POOL
PUT FOR	FOOT POUR
PUT FORK	FOOT PORK
PUT FOUND	FOOT POUND
PUT FOUR	FOOT POUR
PUT FULL	FOOT PULL
PUT PHRASE	FOOT PRAISE
PUT PHYSICIAN	FOOT POSITION
RACE BACK	BASE RACK
RACE BANK	BASE RANK
RACE BANKING	BASE RANKING
RACE BARE	BASE RARE
RACE BARELY	BASE RARELY
RACE BAT	BASE RAT
RACE BAY	BASE RAY
RACE BEACH	BASE REACH
RACE BEAR	BASE RARE
RACE BED	BASE READ
RACE BELIEF	BASE RELIEF
RACE BELIEVE	BASE RELIEVE
RACE BEST	BASE REST
RACE BID	BASE RID
RACE BITCH	BASE RICH
RACE BITE	BASE RIGHT
RACE BOOM	BASE ROOM
RACE BOOT	BASE ROOT
RACE BOWL	BASE ROLE
RACE CAGE	CASE RAGE
RACE CAP	CASE WRAP
RACE CARE	CASE RARE
RACE CAT	CASE RAT
RACE CHAIN	CHASE RAIN
RACE CHAIR	CHASE RARE
RACE CHANGE	CHASE RANGE
RACE CHAT	CHASE RAT
RACE CHEST	CHASE REST
RACE CHIP	CHASE RIP
RACE COAL	CASE ROLE
RACE CODE	CASE ROAD
RACE COOKIE	CASE ROOKIE
RACE COOL	CASE RULE
RACE COPE	CASE ROPE
RACE FAIL	FACE RAIL
RACE FAIR	FACE RARE
RACE FAIRLY	FACE RARELY
RACE FAT	FACE RAT
RACE FATE	FACE RATE
RACE FEEL	FACE REAL
RACE FIGHT	FACE RIGHT
RACE FIGHTER	FACE WRITER
RACE FIGHTING	FACE WRITING
RACE FIST	FACE WRIST
RACE FOOD	FACE RUDE
RACE FOOL	FACE RULE
RACE FOUND	FACE ROUND
RACE FUN	FACE RUN
RACE KID	CASE RID
RACE KING	CASE RING
RACE PACK	PACE RACK
RACE PAGE	PACE RAGE
RACE PAIN	PACE RAIN
RACE PAIR	PACE RARE
RACE PALE	PACE RAIL
RACE PAY	PACE RAY
RACE PEEL	PACE REAL
RACE PHASE	FACE RAISE
RACE PITCH	PACE RICH
RACE POCKET	PACE ROCKET
RACE POLE	PACE ROLE
RACE POLL	PACE ROLE
RACE POOL	PACE RULE
RACE POPE	PACE ROPE
RACE POSE	PACE ROSE
RACE POUND	PACE ROUND
RACK BANK	BACK RANK
RACK BANKING	BACK RANKING
RACK BARE	BACK RARE
RACK BARELY	BACK RARELY
RACK BASE	BACK RACE
RACK BAT	BACK RAT
RACK BAY	BACK RAY
RACK BEACH	BACK REACH
RACK BEAR	BACK RARE
RACK BED	BACK READ
RACK BELIEF	BACK RELIEF
RACK BELIEVE	BACK RELIEVE
RACK BEST	BACK REST
RACK BID	BACK RID
RACK BITCH	BACK RICH
RACK BITE	BACK RIGHT
RACK BOOM	BACK ROOM
RACK BOOT	BACK ROOT
RACK BOWL	BACK ROLE
RACK CENT	SACK RENT
RACK CITE	SACK RIGHT
RACK LANE	LACK RAIN
RACK LAP	LACK WRAP
RACK LATE	LACK RATE
RACK LAW	LACK RAW
RACK LAY	LACK RAY
RACK LEAD	LACK READ
RACK LEADER	LACK READER
RACK LIGHT	LACK RIGHT
RACK LIP	LACK RIP
RACK LIST	LACK WRIST
RACK LIVER	LACK RIVER
RACK LOAD	LACK ROAD
RACK LOCK	LACK ROCK
RACK LONG	LACK WRONG
RACK LOW	LACK ROW
RACK LOYAL	LACK ROYAL
RACK PACE	PACK RACE
RACK PAGE	PACK RAGE
RACK PAIN	PACK RAIN
RACK PAIR	PACK RARE
RACK PALE	PACK RAIL
RACK PAY	PACK RAY
RACK PEEL	PACK REAL
RACK PITCH	PACK RICH
RACK POCKET	PACK ROCKET
RACK POLE	PACK ROLE
RACK POLL	PACK ROLE
RACK POOL	PACK RULE
RACK POPE	PACK ROPE
RACK POSE	PACK ROSE
RACK POUND	PACK ROUND
RACK SAIL	SACK RAIL
RACK SALE	SACK RAIL
RACK SAY	SACK RAY
RACK SEAL	SACK REAL
RACK SEASON	SACK REASON
RACK SIDE	SACK RIDE
RACK SIGHT	SACK RIGHT
RACK SILLY	SACK REALLY
RACK SING	SACK RING
RACK SITE	SACK RIGHT
RACK SIZE	SACK RISE
RACK SO	SACK ROW
RACK SOAP	SACK ROPE
RACK SOCK	SACK ROCK
RACK SOLE	SACK ROLE
RACK SON	SACK RUN
RACK SONG	SACK WRONG
RACK SOUL	SACK ROLE
RACK SOUND	SACK ROUND
RACK SUFFER	SACK REFER
RACK SUIT	SACK ROOT
RACK SUN	SACK RUN
RACK SUPPLY	SACK REPLY
RACK SUPPORTER	SACK REPORTER
RACK SUSPECT	SACK RESPECT
RAGE CAP	CAGE WRAP
RAGE CARE	CAGE RARE
RAGE CASE	CAGE RACE
RAGE CAT	CAGE RAT
RAGE COAL	CAGE ROLE
RAGE CODE	CAGE ROAD
RAGE COOKIE	CAGE ROOKIE
RAGE COOL	CAGE RULE
RAGE COPE	CAGE ROPE
RAGE KID	CAGE RID
RAGE KING	CAGE RING
RAGE ONE	WAGE RUN
RAGE PACE	PAGE RACE
RAGE PACK	PAGE RACK
RAGE PAIN	PAGE RAIN
RAGE PAIR	PAGE RARE
RAGE PALE	PAGE RAIL
RAGE PAY	PAGE RAY
RAGE PEEL	PAGE REAL
RAGE PITCH	PAGE RICH
RAGE POCKET	PAGE ROCKET
RAGE POLE	PAGE ROLE
RAGE POLL	PAGE ROLE
RAGE POOL	PAGE RULE
RAGE POPE	PAGE ROPE
RAGE POSE	PAGE ROSE
RAGE POUND	PAGE ROUND
RAGE WAIT	WAGE RATE
RAGE WALK	WAGE ROCK
RAGE WAY	WAGE RAY
RAGE WEAR	WAGE RARE
RAGE WEDDING	WAGE READING
RAGE WEIGH	WAGE RAY
RAGE WEIGHT	WAGE RATE
RAGE WEST	WAGE REST
RAGE WHALE	WAGE RAIL
RAGE WHEEL	WAGE REAL
RAGE WHERE	WAGE RARE
RAGE WHICH	WAGE RICH
RAGE WHIP	WAGE RIP
RAGE WHITE	WAGE RIGHT
RAGE WHOA	WAGE ROW
RAGE WIDE	WAGE RIDE
RAGE WING	WAGE RING
RAGE WISE	WAGE RISE
RAGE WITCH	WAGE RICH
RAGE WOUND	WAGE ROUND
RAIL CENT	SAIL RENT
RAIL CITE	SAIL RIGHT
RAIL FACE	FAIL RACE
RAIL FAIR	FAIL RARE
RAIL FAIRLY	FAIL RARELY
RAIL FAT	FAIL RAT
RAIL FATE	FAIL RATE
RAIL FEEL	FAIL REAL
RAIL FIGHT	FAIL RIGHT
RAIL FIGHTER	FAIL WRITER
RAIL FIGHTING	FAIL WRITING
RAIL FIST	FAIL WRIST
RAIL FOOD	FAIL RUDE
RAIL FOOL	FAIL RULE
RAIL FOUND	FAIL ROUND
RAIL FUN	FAIL RUN
RAIL GENDER	JAIL RENDER
RAIL JOB	JAIL ROB
RAIL KNOCK	NAIL ROCK
RAIL KNOW	NAIL ROW
RAIL MAIN	MAIL RAIN
RAIL MAP	MAIL WRAP
RAIL MATE	MAIL RATE
RAIL MAY	MAIL RAY
RAIL MEAL	MAIL REAL
RAIL MIGHT	MAIL RIGHT
RAIL MODE	MAIL ROAD
RAIL MOOD	MAIL RUDE
RAIL NATIONAL	NAIL RATIONAL
RAIL NEST	NAIL REST
RAIL NICE	NAIL RICE
RAIL NIGHT	NAIL RIGHT
RAIL NO	NAIL ROW
RAIL NOD	NAIL ROD
RAIL NONE	NAIL RUN
RAIL NOSE	NAIL ROSE
RAIL ONE	WHALE RUN
RAIL PACE	PALE RACE
RAIL PACK	PALE RACK
RAIL PAGE	PALE RAGE
RAIL PAIN	PALE RAIN
RAIL PAIR	PALE RARE
RAIL PAY	PALE RAY
RAIL PEEL	PALE REAL
RAIL PHASE	FAIL RAISE
RAIL PITCH	PALE RICH
RAIL POCKET	PALE ROCKET
RAIL POLE	PALE ROLE
RAIL POLL	PALE ROLE
RAIL POOL	PALE RULE
RAIL POPE	PALE ROPE
RAIL POSE	PALE ROSE
RAIL POUND	PALE ROUND
RAIL SACK	SAIL RACK
RAIL SAY	SAIL RAY
RAIL SEAL	SAIL REAL
RAIL SEASON	SAIL REASON
RAIL SIDE	SAIL RIDE
RAIL SIGHT	SAIL RIGHT
RAIL SILLY	SAIL REALLY
RAIL SING	SAIL RING
RAIL SITE	SAIL RIGHT
RAIL SIZE	SAIL RISE
RAIL SO	SAIL ROW
RAIL SOAP	SAIL ROPE
RAIL SOCK	SAIL ROCK
RAIL SOLE	SAIL ROLE
RAIL SON	SAIL RUN
RAIL SONG	SAIL WRONG
RAIL SOUL	SAIL ROLE
RAIL SOUND	SAIL ROUND
RAIL SUFFER	SAIL REFER
RAIL SUIT	SAIL ROOT
RAIL SUN	SAIL RUN
RAIL SUPPLY	SAIL REPLY
RAIL SUPPORTER	SAIL REPORTER
RAIL SUSPECT	SAIL RESPECT
RAIL TANK	TAIL RANK
RAIL TAP	TAIL WRAP
RAIL TAPE	TAIL RAPE
RAIL TEACH	TAIL REACH
RAIL TEAR	TAIL RARE
RAIL TENDER	TAIL RENDER
RAIL TENT	TAIL RENT
RAIL TEST	TAIL REST
RAIL TIDE	TAIL RIDE
RAIL TIGHT	TAIL RIGHT
RAIL TIP	TAIL RIP
RAIL TOE	TAIL ROW
RAIL TOLL	TAIL ROLE
RAIL TOOL	TAIL RULE
RAIL TOUGH	TAIL ROUGH
RAIL TOWARD	TAIL REWARD
RAIL TUMOR	TAIL RUMOR
RAIL WAGE	WHALE RAGE
RAIL WAIT	WHALE RATE
RAIL WALK	WHALE ROCK
RAIL WAY	WHALE RAY
RAIL WEAR	WHALE RARE
RAIL WEDDING	WHALE READING
RAIL WEIGH	WHALE RAY
RAIL WEIGHT	WHALE RATE
RAIL WEST	WHALE REST
RAIL WHEEL	WHALE REAL
RAIL WHERE	WHALE RARE
RAIL WHICH	WHALE RICH
RAIL WHIP	WHALE RIP
RAIL WHITE	WHALE RIGHT
RAIL WHOA	WHALE ROW
RAIL WIDE	WHALE RIDE
RAIL WING	WHALE RING
RAIL WISE	WHALE RISE
RAIL WITCH	WHALE RICH
RAIL WOUND	WHALE ROUND
RAIN CHAIR	CHAIN RARE
RAIN CHANGE	CHAIN RANGE
RAIN CHASE	CHAIN RACE
RAIN CHAT	CHAIN RAT
RAIN CHEST	CHAIN REST
RAIN CHIP	CHAIN RIP
RAIN GAP	GAIN WRAP
RAIN GATE	GAIN RATE
RAIN GATHER	GAIN RATHER
RAIN GAY	GAIN RAY
RAIN GAZE	GAIN RAISE
RAIN GO	GAIN ROW
RAIN GOAL	GAIN ROLE
RAIN GOD	GAIN ROD
RAIN GUEST	GAIN REST
RAIN GUIDE	GAIN RIDE
RAIN GUN	GAIN RUN
RAIN LACK	LANE RACK
RAIN LAP	LANE WRAP
RAIN LATE	LANE RATE
RAIN LAW	LANE RAW
RAIN LAY	LANE RAY
RAIN LEAD	LANE READ
RAIN LEADER	LANE READER
RAIN LIGHT	LANE RIGHT
RAIN LIP	LANE RIP
RAIN LIST	LANE WRIST
RAIN LIVER	LANE RIVER
RAIN LOAD	LANE ROAD
RAIN LOCK	LANE ROCK
RAIN LONG	LANE WRONG
RAIN LOW	LANE ROW
RAIN LOYAL	LANE ROYAL
RAIN MAIL	MAIN RAIL
RAIN MALE	MAIN RAIL
RAIN MAP	MAIN WRAP
RAIN MATE	MAIN RATE
RAIN MAY	MAIN RAY
RAIN MEAL	MAIN REAL
RAIN MIGHT	MAIN RIGHT
RAIN MODE	MAIN ROAD
RAIN MOOD	MAIN RUDE
RAIN PACE	PAIN RACE
RAIN PACK	PAIN RACK
RAIN PAGE	PAIN RAGE
RAIN PAIR	PAIN RARE
RAIN PALE	PAIN RAIL
RAIN PAY	PAIN RAY
RAIN PEEL	PAIN REAL
RAIN PITCH	PAIN RICH
RAIN POCKET	PAIN ROCKET
RAIN POLE	PAIN ROLE
RAIN POLL	PAIN ROLE
RAIN POOL	PAIN RULE
RAIN POPE	PAIN ROPE
RAIN POSE	PAIN ROSE
RAIN POUND	PAIN ROUND
RAISE FACE	PHASE RACE
RAISE FAIL	PHASE RAIL
RAISE FAIR	PHASE RARE
RAISE FAIRLY	PHASE RARELY
RAISE FAT	PHASE RAT
RAISE FATE	PHASE RATE
RAISE FEEL	PHASE REAL
RAISE FIGHT	PHASE RIGHT
RAISE FIGHTER	PHASE WRITER
RAISE FIGHTING	PHASE WRITING
RAISE FIST	PHASE WRIST
RAISE FOOD	PHASE RUDE
RAISE FOOL	PHASE RULE
RAISE FOUND	PHASE ROUND
RAISE FUN	PHASE RUN
RAISE GAIN	GAZE RAIN
RAISE GAP	GAZE WRAP
RAISE GATE	GAZE RATE
RAISE GATHER	GAZE RATHER
RAISE GAY	GAZE RAY
RAISE GO	GAZE ROW
RAISE GOAL	GAZE ROLE
RAISE GOD	GAZE ROD
RAISE GUEST	GAZE REST
RAISE GUIDE	GAZE RIDE
RAISE GUN	GAZE RUN
RALLY VENDOR	VALLEY RENDER
RALLY VICE	VALLEY RICE
RANGE ARISE	ARRANGE RISE
RANGE AROUND	ARRANGE ROUND
RANGE ARRAY	ARRANGE RAY
RANGE ARREST	ARRANGE REST
RANGE ARRIVAL	ARRANGE RIVAL
RANGE CHAIN	CHANGE RAIN
RANGE CHAIR	CHANGE RARE
RANGE CHASE	CHANGE RACE
RANGE CHAT	CHANGE RAT
RANGE CHEST	CHANGE REST
RANGE CHIP	CHANGE RIP
RANK BACK	BANK RACK
RANK BANKING	BANK RANKING
RANK BARE	BANK RARE
RANK BARELY	BANK RARELY
RANK BASE	BANK RACE
RANK BAT	BANK RAT
RANK BAY	BANK RAY
RANK BEACH	BANK REACH
RANK BEAR	BANK RARE
RANK BED	BANK READ
RANK BELIEF	BANK RELIEF
RANK BELIEVE	BANK RELIEVE
RANK BEST	BANK REST
RANK BID	BANK RID
RANK BITCH	BANK RICH
RANK BITE	BANK RIGHT
RANK BOOM	BANK ROOM
RANK BOOT	BANK ROOT
RANK BOWL	BANK ROLE
RANK TAIL	TANK RAIL
RANK TALE	TANK RAIL
RANK TAP	TANK WRAP
RANK TAPE	TANK RAPE
RANK TEACH	TANK REACH
RANK TEAR	TANK RARE
RANK TENDER	TANK RENDER
RANK TENT	TANK RENT
RANK TEST	TANK REST
RANK THING	THANK RING
RANK TIDE	TANK RIDE
RANK TIGHT	TANK RIGHT
RANK TIP	TANK RIP
RANK TOE	TANK ROW
RANK TOLL	TANK ROLE
RANK TOOL	TANK RULE
RANK TOUGH	TANK ROUGH
RANK TOWARD	TANK REWARD
RANK TUMOR	TANK RUMOR
RANKING BACK	BANKING RACK
RANKING BANK	BANKING RANK
RANKING BARE	BANKING RARE
RANKING BARELY	BANKING RARELY
RANKING BASE	BANKING RACE
RANKING BAT	BANKING RAT
RANKING BAY	BANKING RAY
RANKING BEACH	BANKING REACH
RANKING BEAR	BANKING RARE
RANKING BED	BANKING READ
RANKING BELIEF	BANKING RELIEF
RANKING BELIEVE	BANKING RELIEVE
RANKING BEST	BANKING REST
RANKING BID	BANKING RID
RANKING BITCH	BANKING RICH
RANKING BITE	BANKING RIGHT
RANKING BOOM	BANKING ROOM
RANKING BOOT	BANKING ROOT
RANKING BOWL	BANKING ROLE
RAPE SHARE	SHAPE RARE
RAPE SHIP	SHAPE RIP
RAPE SHOCK	SHAPE ROCK
RAPE SHOOT	SHAPE ROOT
RAPE SHOW	SHAPE ROW
RAPE TAIL	TAPE RAIL
RAPE TALE	TAPE RAIL
RAPE TANK	TAPE RANK
RAPE TAP	TAPE WRAP
RAPE TEACH	TAPE REACH
RAPE TEAR	TAPE RARE
RAPE TENDER	TAPE RENDER
RAPE TENT	TAPE RENT
RAPE TEST	TAPE REST
RAPE TIDE	TAPE RIDE
RAPE TIGHT	TAPE RIGHT
RAPE TIP	TAPE RIP
RAPE TOE	TAPE ROW
RAPE TOLL	TAPE ROLE
RAPE TOOL	TAPE RULE
RAPE TOUGH	TAPE ROUGH
RAPE TOWARD	TAPE REWARD
RAPE TUMOR	TAPE RUMOR
RARE BACK	BARE RACK
RARE BANK	BARE RANK
RARE BANKING	BARE RANKING
RARE BARELY	BARE RARELY
RARE BASE	BARE RACE
RARE BAT	BARE RAT
RARE BAY	BARE RAY
RARE BEACH	BARE REACH
RARE BED	BARE READ
RARE BELIEF	BARE RELIEF
RARE BELIEVE	BARE RELIEVE
RARE BEST	BARE REST
RARE BID	BARE RID
RARE BITCH	BARE RICH
RARE BITE	BARE RIGHT
RARE BOOM	BARE ROOM
RARE BOOT	BARE ROOT
RARE BOWL	BARE ROLE
RARE CAGE	CARE RAGE
RARE CAP	CARE WRAP
RARE CASE	CARE RACE
RARE CAT	CARE RAT
RARE CHAIN	CHAIR RAIN
RARE CHANGE	CHAIR RANGE
RARE CHASE	CHAIR RACE
RARE CHAT	CHAIR RAT
RARE CHEST	CHAIR REST
RARE CHIP	CHAIR RIP
RARE COAL	CARE ROLE
RARE CODE	CARE ROAD
RARE COOKIE	CARE ROOKIE
RARE COOL	CARE RULE
RARE COPE	CARE ROPE
RARE DATE	DARE RATE
RARE DAY	DARE RAY
RARE DEAD	DARE READ
RARE DEAL	DARE REAL
RARE DECENT	DARE RECENT
RARE DESERVE	DARE RESERVE
RARE DESIGN	DARE RESIGN
RARE DIET	DARE RIOT
RARE DISK	DARE RISK
RARE DOC	DARE ROCK
RARE DOUGH	DARE ROW
RARE DUDE	DARE RUDE
RARE FACE	FAIR RACE
RARE FAIL	FAIR RAIL
RARE FAIRLY	FAIR RARELY
RARE FAT	FAIR RAT
RARE FATE	FAIR RATE
RARE FEEL	FAIR REAL
RARE FIGHT	FAIR RIGHT
RARE FIGHTER	FAIR WRITER
RARE FIGHTING	FAIR WRITING
RARE FIST	FAIR WRIST
RARE FOOD	FAIR RUDE
RARE FOOL	FAIR RULE
RARE FOUND	FAIR ROUND
RARE FUN	FAIR RUN
RARE HA	HAIR RAW
RARE HAT	HAIR RAT
RARE HATE	HAIR RATE
RARE HEAD	HAIR READ
RARE HEAL	HAIR REAL
RARE HEEL	HAIR REAL
RARE HEIGHT	HAIR RIGHT
RARE HEY	HAIR RAY
RARE HIDE	HAIR RIDE
RARE HIP	HAIR RIP
RARE HOLE	HAIR ROLE
RARE HOPE	HAIR ROPE
RARE KID	CARE RID
RARE KING	CARE RING
RARE ONE	WEAR RUN
RARE PACE	PAIR RACE
RARE PACK	PAIR RACK
RARE PAGE	PAIR RAGE
RARE PAIN	PAIR RAIN
RARE PALE	PAIR RAIL
RARE PAY	PAIR RAY
RARE PEEL	PAIR REAL
RARE PHASE	FAIR RAISE
RARE PITCH	PAIR RICH
RARE POCKET	PAIR ROCKET
RARE POLE	PAIR ROLE
RARE POLL	PAIR ROLE
RARE POOL	PAIR RULE
RARE POPE	PAIR ROPE
RARE POSE	PAIR ROSE
RARE POUND	PAIR ROUND
RARE SHAPE	SHARE RAPE
RARE SHIP	SHARE RIP
RARE SHOCK	SHARE ROCK
RARE SHOOT	SHARE ROOT
RARE SHOW	SHARE ROW
RARE TAIL	TEAR RAIL
RARE TALE	TEAR RAIL
RARE TANK	TEAR RANK
RARE TAP	TEAR WRAP
RARE TAPE	TEAR RAPE
RARE TEACH	TEAR REACH
RARE TENDER	TEAR RENDER
RARE TENT	TEAR RENT
RARE TEST	TEAR REST
RARE THAT	THEIR RAT
RARE THEY	THEIR RAY
RARE THOSE	THEIR ROSE
RARE THOUGH	THEIR ROW
RARE TIDE	TEAR RIDE
RARE TIGHT	TEAR RIGHT
RARE TIP	TEAR RIP
RARE TOE	TEAR ROW
RARE TOLL	TEAR ROLE
RARE TOOL	TEAR RULE
RARE TOUGH	TEAR ROUGH
RARE TOWARD	TEAR REWARD
RARE TUMOR	TEAR RUMOR
RARE WAGE	WEAR RAGE
RARE WAIT	WEAR RATE
RARE WALK	WEAR ROCK
RARE WAY	WEAR RAY
RARE WEDDING	WEAR READING
RARE WEIGH	WEAR RAY
RARE WEIGHT	WEAR RATE
RARE WEST	WEAR REST
RARE WHALE	WEAR RAIL
RARE WHEEL	WEAR REAL
RARE WHICH	WEAR RICH
RARE WHIP	WEAR RIP
RARE WHITE	WEAR RIGHT
RARE WHOA	WEAR ROW
RARE WHOLE	HAIR ROLE
RARE WHOM	HAIR ROOM
RARE WIDE	WEAR RIDE
RARE WING	WEAR RING
RARE WISE	WEAR RISE
RARE WITCH	WEAR RICH
RARE WOUND	WEAR ROUND
RARELY BACK	BARELY RACK
RARELY BANK	BARELY RANK
RARELY BANKING	BARELY RANKING
RARELY BARE	BARELY RARE
RARELY BASE	BARELY RACE
RARELY BAT	BARELY RAT
RARELY BAY	BARELY RAY
RARELY BEACH	BARELY REACH
RARELY BEAR	BARELY RARE
RARELY BED	BARELY READ
RARELY BELIEF	BARELY RELIEF
RARELY BELIEVE	BARELY RELIEVE
RARELY BEST	BARELY REST
RARELY BID	BARELY RID
RARELY BITCH	BARELY RICH
RARELY BITE	BARELY RIGHT
RARELY BOOM	BARELY ROOM
RARELY BOOT	BARELY ROOT
RARELY BOWL	BARELY ROLE
RARELY FACE	FAIRLY RACE
RARELY FAIL	FAIRLY RAIL
RARELY FAIR	FAIRLY RARE
RARELY FAT	FAIRLY RAT
RARELY FATE	FAIRLY RATE
RARELY FEEL	FAIRLY REAL
RARELY FIGHT	FAIRLY RIGHT
RARELY FIGHTER	FAIRLY WRITER
RARELY FIGHTING	FAIRLY WRITING
RARELY FIST	FAIRLY WRIST
RARELY FOOD	FAIRLY RUDE
RARELY FOOL	FAIRLY RULE
RARELY FOUND	FAIRLY ROUND
